originalquesid,questionid,title,question,tags,link,source,preparedtitle
"3397113,",1457849,How to remove the border highlight on an input text element,"
When an HTML element is 'focused' (currently selected/tabbed into), many browsers (at least Safari and Chrome) will put a blue border around it.
For the layout I am working on, this is distracting and does not look right.
<input type=""text"" name=""user"" class=""middle"" id=""user"" tabindex=""1"" />

Firefox does not seem to do this, or at least, will let me control it with:
border: x;

If someone can tell me how IE performs, I would be curious. 
Getting Safari to remove this little bit of flare would be nice.
","css,input,safari,webkit,border,",https://stackoverflow.com/questions/1457849/how-to-remove-the-border-highlight-on-an-input-text-element,https://stackoverflow.com, remove border highlight input text element
"5834014,",1967370,git replacing LF with CRLF,"
Running git on a Windows XP machine, using bash. I exported my project from SVN, and then cloned a bare repository.
I then pasted the export into the bare repositories directory, and did a:
git add -A

I then got a list of messages saying:

What are the ramifications of this conversion? This is a .NET solution in Visual Studio.
","git,",https://stackoverflow.com/questions/1967370/git-replacing-lf-with-crlf,https://stackoverflow.com, git replacing lf crlf
"3455405,6295087,1219630,",208105,How do I remove a property from a JavaScript object?,"
Say I create an object as follows:
let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI"",
  ""regex"": ""^http://.*""
};

What is the best way to remove the property regex to end up with new myObject as follows?
let myObject = {
  ""ircEvent"": ""PRIVMSG"",
  ""method"": ""newURI""
};

","javascript,javascript-objects,",https://stackoverflow.com/questions/208105/how-do-i-remove-a-property-from-a-javascript-object,https://stackoverflow.com, remove property javascript object 
"1181575,143847,6116474,7378228,",237104,How do I check if an array includes a value in JavaScript?,"
What is the most concise and efficient way to find out if a JavaScript array contains a value?
This is the only way I know to do it:
function contains(a, obj) {
    for (var i = 0; i < a.length; i++) {
        if (a[i] === obj) {
            return true;
        }
    }
    return false;
}

Is there a better and more concise way to accomplish this?
This is very closely related to Stack Overflow question Best way to find an item in a JavaScript Array? which addresses finding objects in an array using indexOf.
","javascript,arrays,algorithm,time-complexity,javascript-objects,",https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript,https://stackoverflow.com, check array includes value javascript 
"15852122,",5445085,Understanding colors on Android (six characters),"
I am trying to understand how colors work in Android. I have this color set as the background of my LinearLayout, and I get a background gray with some transparency:
<gradient android:startColor=""#b4555555"" android:endColor=""#b4555555""
 android:angle=""270.0"" />

If I remove the last two characters (55) I get a solid color, losing the transparency. I was trying to find a page where I can see some explanation about this, but I couldn't find it. 
","android,colors,hex,transparency,",https://stackoverflow.com/questions/5445085/understanding-colors-on-android-six-characters,https://stackoverflow.com, understanding color android  six characters 
"4592493,299802,6899175,",31044,Is there an “exists” function for jQuery?,"
How can I check the existence of an element in jQuery?
The current code that I have is this:
if ($(selector).length > 0) {
    // Do something
}

Is there a more elegant way to approach this? Perhaps a plugin or a function?
","javascript,jquery,",https://stackoverflow.com/questions/31044/is-there-an-exists-function-for-jquery,https://stackoverflow.com,  exists  function jquery 
"455338,",135448,How do I check if an object has a specific property in JavaScript?,"
How do I check if an object has a specific property in JavaScript?
Consider:
x = {'key': 1};
if ( x.hasOwnProperty('key') ) {
    //Do this
}

Is that the best way to do it?
","javascript,",https://stackoverflow.com/questions/135448/how-do-i-check-if-an-object-has-a-specific-property-in-javascript,https://stackoverflow.com, check object specific property javascript 
"191881,",558518,Serializing an object to JSON,"
How can I serialize an object to JSON in JavaScript?
","javascript,json,",https://stackoverflow.com/questions/558518/serializing-an-object-to-json,https://stackoverflow.com, serializing object json
"3003145,",1634782,What is the most accurate way to retrieve a user's correct IP address in PHP?,"
I know there are a plethora of $_SERVER variables headers available for IP address retrieval. I was wondering if there is a general consensus as to how to most accurately retrieve a user's real IP address (well knowing no method is perfect) using said variables?
I spent some time trying to find an in depth solution and came up with the following code based on a number of sources. I would love it if somebody could please poke holes in the answer or shed some light on something perhaps more accurate.
edit includes optimizations from @Alix
 /**
  * Retrieves the best guess of the client's actual IP address.
  * Takes into account numerous HTTP proxy headers due to variations
  * in how different ISPs handle IP addresses in headers between hops.
  */
 public function get_ip_address() {
  // Check for shared internet/ISP IP
  if (!empty($_SERVER['HTTP_CLIENT_IP']) && $this->validate_ip($_SERVER['HTTP_CLIENT_IP']))
   return $_SERVER['HTTP_CLIENT_IP'];

  // Check for IPs passing through proxies
  if (!empty($_SERVER['HTTP_X_FORWARDED_FOR'])) {
   // Check if multiple IP addresses exist in var
    $iplist = explode(',', $_SERVER['HTTP_X_FORWARDED_FOR']);
    foreach ($iplist as $ip) {
     if ($this->validate_ip($ip))
      return $ip;
    }
   }
  }
  if (!empty($_SERVER['HTTP_X_FORWARDED']) && $this->validate_ip($_SERVER['HTTP_X_FORWARDED']))
   return $_SERVER['HTTP_X_FORWARDED'];
  if (!empty($_SERVER['HTTP_X_CLUSTER_CLIENT_IP']) && $this->validate_ip($_SERVER['HTTP_X_CLUSTER_CLIENT_IP']))
   return $_SERVER['HTTP_X_CLUSTER_CLIENT_IP'];
  if (!empty($_SERVER['HTTP_FORWARDED_FOR']) && $this->validate_ip($_SERVER['HTTP_FORWARDED_FOR']))
   return $_SERVER['HTTP_FORWARDED_FOR'];
  if (!empty($_SERVER['HTTP_FORWARDED']) && $this->validate_ip($_SERVER['HTTP_FORWARDED']))
   return $_SERVER['HTTP_FORWARDED'];

  // Return unreliable IP address since all else failed
  return $_SERVER['REMOTE_ADDR'];
 }

 /**
  * Ensures an IP address is both a valid IP address and does not fall within
  * a private network range.
  *
  * @access public
  * @param string $ip
  */
 public function validate_ip($ip) {
     if (filter_var($ip, FILTER_VALIDATE_IP, 
                         FILTER_FLAG_IPV4 | 
                         FILTER_FLAG_IPV6 |
                         FILTER_FLAG_NO_PRIV_RANGE | 
                         FILTER_FLAG_NO_RES_RANGE) === false)
         return false;
     self::$ip = $ip;
     return true;
 }

Words of Warning (update)
REMOTE_ADDR still represents the most reliable source of an IP address. The other $_SERVER variables mentioned here can be spoofed by a remote client very easily. The purpose of this solution is to attempt to determine the IP address of a client sitting behind a proxy. For your general purposes, you might consider using this in combination with the IP address returned directly from $_SERVER['REMOTE_ADDR'] and storing both.
For 99.9% of users this solution will suit your needs perfectly. It will not protect you from the 0.1% of malicious users looking to abuse your system by injecting their own request headers. If relying on IP addresses for something mission critical, resort to REMOTE_ADDR and don't bother catering to those behind a proxy.
","php,ip-address,",https://stackoverflow.com/questions/1634782/what-is-the-most-accurate-way-to-retrieve-a-users-correct-ip-address-in-php,https://stackoverflow.com, accurate way retrieve user s correct ip address php 
"10732690,",4086107,Fixed page header overlaps in-page anchors,"
If I have a non-scrolling header in an HTML page, fixed to the top, having a defined height:
Is there a way to use the URL anchor (the #fragment part) to have the browser scroll to a certain point in the page, but still respect the height of the fixed element without the help of JavaScript? 
http://foo.com/#bar


WRONG (but the common behavior):         CORRECT:
+---------------------------------+      +---------------------------------+
| BAR///////////////////// header |      | //////////////////////// header |
+---------------------------------+      +---------------------------------+
| Here is the rest of the Text    |      | BAR                             |
| ...                             |      |                                 |
| ...                             |      | Here is the rest of the Text    |
| ...                             |      | ...                             |
+---------------------------------+      +---------------------------------+

","html,url,anchor,fragment,",https://stackoverflow.com/questions/4086107/fixed-page-header-overlaps-in-page-anchors,https://stackoverflow.com, fixed page header overlap in page anchor
"1068834,",201183,How to determine equality for two JavaScript objects?,"
A strict equality operator will tell you if two object types are equal. However, is there a way to tell if two objects are equal, much like the hash code value in Java?
Stack Overflow question Is there any kind of hashCode function in JavaScript? is similar to this question, but requires a more academic answer. The scenario above demonstrates why it would be necessary to have one, and I'm wondering if there is any equivalent solution.
","javascript,object,equals,hashcode,",https://stackoverflow.com/questions/201183/how-to-determine-equality-for-two-javascript-objects,https://stackoverflow.com, determine equality two javascript objects 
"5374311,9572795,",4042434,Converting 'ArrayList<String> to 'String[]' in Java,"
How might I convert an ArrayList<String> object to a String[] array in Java?
","java,arrays,string,arraylist,collections,",https://stackoverflow.com/questions/4042434/converting-arrayliststring-to-string-in-java,https://stackoverflow.com, converting  arraylist string   string    java
"15551779,",17711146,How to open link in new tab on html?,"
I'm working on an HTML project, and I can't find out how to open a link in a new tab without javascript.
I already know that <a href=""http://www.WEBSITE_NAME.com""></a> opens the link in same tab. Any ideas how to make it open in a new one?
","html,hyperlink,anchor,browser-tab,",https://stackoverflow.com/questions/17711146/how-to-open-link-in-new-tab-on-html,https://stackoverflow.com, open link new tab html 
"11508463,19837916,",2274242,How to use a variable for a key in a JavaScript object literal?,"
Why does the following work?
<something>.stop().animate(
    { 'top' : 10 }, 10
);

Whereas this doesn't work:
var thetop = 'top';
<something>.stop().animate(
    { thetop : 10 }, 10
);

To make it even clearer: At the moment I'm not able to pass a CSS property to the animate function as a variable.
","javascript,jquery,variables,properties,object-literal,",https://stackoverflow.com/questions/2274242/how-to-use-a-variable-for-a-key-in-a-javascript-object-literal,https://stackoverflow.com, use variable key javascript object literal 
"205853,",846585,Can someone explain the dollar sign in Javascript?,"
The code in question is here: 
var $item = $(this).parent().parent().find('input');

What is the purpose of the dollar sign in the variable name, why not just exclude it?
","javascript,naming-conventions,",https://stackoverflow.com/questions/846585/can-someone-explain-the-dollar-sign-in-javascript,https://stackoverflow.com, someone explain dollar sign javascript 
"3480771,",1789945,How to check whether a string contains a substring in JavaScript?,"



Usually I would expect a String.contains() method, but there doesn't seem to be one. 
What is a reasonable way to check for this?
","javascript,string,substring,string-matching,",https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript,https://stackoverflow.com, check whether string contains substring javascript 
"4535298,",1991318,How do I change screen orientation in the Android emulator?,"
How do we change emulator screen orientation to landscape or portrait?
","android,emulation,screen-orientation,",https://stackoverflow.com/questions/1991318/how-do-i-change-screen-orientation-in-the-android-emulator,https://stackoverflow.com, change screen orientation android emulator 
"3954438,",5767325,How can I remove a specific item from an array?,"
I have an array of numbers and I'm using the .push() method to add elements to it.
Is there a simple way to remove a specific element from an array?
I'm looking for the equivalent of something like:
array.remove(number);

I have to use core JavaScript. Frameworks are not allowed.
","javascript,arrays,",https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array,https://stackoverflow.com, remove specific item array 
"218760,",211383,What methods of ‘clearfix’ can I use?,"
I have the age-old problem of a div wrapping a two-column layout. My sidebar is floated, so my container div fails to wrap the content and sidebar.
<div id=""container"">
  <div id=""content""></div>
  <div id=""sidebar""></div>
</div>

There seem to be numerous methods of fixing the clear bug in Firefox:

<br clear=""all""/>
overflow:auto
overflow:hidden

In my situation, the only one that seems to work correctly is the <br clear=""all""/> solution, which is a little bit scruffy. overflow:auto gives me nasty scrollbars, and overflow:hidden must surely have side effects.
Also, IE7 apparently shouldn't suffer from this problem due to its incorrect behaviour, but in my situation it's suffering the same as Firefox.
Which method currently available to us is the most robust?
","css,clearfix,",https://stackoverflow.com/questions/211383/what-methods-of-clearfix-can-i-use,https://stackoverflow.com, method  clearfix  use 
"5915096,",4550505,Getting a random value from a JavaScript array,"
Consider:
var myArray = ['January', 'February', 'March'];    

How can I select a random value from this array using JavaScript?
","javascript,random,",https://stackoverflow.com/questions/4550505/getting-a-random-value-from-a-javascript-array,https://stackoverflow.com, getting random value javascript array
"9529078,1616957,1895059,3639115,",4114095,How do I revert a Git repository to a previous commit?,"



How do I revert from my current state to a snapshot made on a certain commit?
If I do git log, then I get the following output:
$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me <me@me.com>
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me <me@me.com>
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me <me@me.com>
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me <me@me.com>
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.

How do I revert to the commit from November 3, i.e. commit 0d1d7fc?
","git,git-checkout,git-reset,git-revert,",https://stackoverflow.com/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit,https://stackoverflow.com, revert git repository previous commit 
"4744751,1226714,",503093,How do I redirect to another webpage?,"



How can I redirect the user from one page to another using jQuery or pure JavaScript?
","javascript,jquery,redirect,",https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,https://stackoverflow.com, redirect another webpage 
"2845731,",927358,How do I undo the most recent local commits in Git?,"
I accidentally committed the wrong files to Git, but didn't push the commit to the server yet.
How can I undo those commits from the local repository?
","git,version-control,git-commit,undo,",https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git,https://stackoverflow.com, undo recent local commits git 
"3527856,",1587846,How do I show the changes which have been staged?,"
I staged a few changes to be committed; how can I see the diff of all files which are staged for the next commit? I'm aware of git status, but I'd like to see the actual diffs - not just the names of files which are staged.
I saw that the git-diff(1) man page says

Unfortunately, I can't quite make sense of this. There must be some handy one-liner which I could create an alias for, right?
","git,diff,dvcs,git-diff,git-stage,",https://stackoverflow.com/questions/1587846/how-do-i-show-the-changes-which-have-been-staged,https://stackoverflow.com, show change staged 
"3773857,",91362,How to escape braces (curly brackets) in a format string in .NET,"
How can brackets be escaped in using string.Format. 
For example:
String val = ""1,2,3""
String.Format("" foo {{0}}"", val); 

This example doesn't throw an exception, but outputs the string foo {0}.
Is there a way to escape the brackets?
","c#,.net,string,parsing,formatting,",https://stackoverflow.com/questions/91362/how-to-escape-braces-curly-brackets-in-a-format-string-in-net,https://stackoverflow.com, escape brace  curly brackets  format string  net
"2802726,",394809,Does Python have a ternary conditional operator?,"
If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?
","python,operators,ternary-operator,conditional-operator,",https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,https://stackoverflow.com, python ternary conditional operator 
"3501382,",152580,What's the canonical way to check for type in Python?,"
What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?
Let's say I have an object o. How do I check whether it's a str?
","python,types,",https://stackoverflow.com/questions/152580/whats-the-canonical-way-to-check-for-type-in-python,https://stackoverflow.com, what s canonical way check type python 
"9483757,9929457,",1696433,How to exit a 'git status' list in a terminal?,"
I'm new to Git and the terminal. How can I exit a listing mode generated by the git status command?
","git,command-line,terminal,",https://stackoverflow.com/questions/1696433/how-to-exit-a-git-status-list-in-a-terminal,https://stackoverflow.com, exit  git status  list terminal 
"1165761,",803225,When should I use double instead of decimal?,"
I can name three advantages to using double (or float) instead of decimal:

Uses less memory.
Faster because floating point math operations are natively supported by processors.
Can represent a larger range of numbers.

But these advantages seem to apply only to calculation intensive operations, such as those found in modeling software. Of course, doubles should not be used when precision is required, such as financial calculations. So are there any practical reasons to ever choose double (or float) instead of decimal in ""normal"" applications?
Edited to add:
Thanks for all the great responses, I learned from them.
One further question: A few people made the point that doubles can more precisely represent real numbers. When declared I would think that they usually more accurately represent them as well. But is it a true statement that the accuracy may decrease (sometimes significantly) when floating point operations are performed?
","c#,types,floating-point,double,decimal,",https://stackoverflow.com/questions/803225/when-should-i-use-double-instead-of-decimal,https://stackoverflow.com, use double instead decimal 
